index,Título,Propósito general del curso,Área temática,Nivel,Resultados de aprendizaje esperados,proposito_norm
0,El cerebro y las emociones en el lenguaje,"Comprender cómo se procesa el contenido emocional de los estímulos que captamos con nuestros sentidos, para que puedas, de manera más consiente, producir, modular e interpretar el lenguaje emocional en la interacción con otros.","Medicina y salud
Comunicaciones",Introductorio,"* Identificar las cinco emociones básicas que pueden ser manifiestas a través del lenguaje verbal y no verbal.
 * Relacionar los procesos de expresión y compresión del lenguaje emocional de las palabras, los sonidos, la prosodia, los gestos y las imágenes con los mecanismos neurobiológicos que le subyacen.
 * Analizar algunas de las variables que pueden afectar la percepción y la interpretación de las emociones en las dinámicas de comunicación e interacción con el entorno social.
* Interpretar la comunicación emocional en el marco de la teoría de la mente y de la cognición social.
 * Probar los efectos que sobre el procesamiento emocional tienen las variables idiosincráticas y socioculturales.
* Estimar la importancia de la comunicación afectiva en el marco de un conflicto.
* Conocer estrategias para comunicarse asertivamente en diferentes sociales.
",identificar cinco emociones básicas pueden manifiestas través lenguaje verbal verbal relacionar procesos expresión compresión lenguaje emocional palabras sonidos prosodia gestos imágenes mecanismos neurobiológicos subyacen analizar variables pueden afectar percepción interpretación emociones dinámicas comunicación interacción entorno social interpretar comunicación emocional marco teoría mente cognición social probar efectos procesamiento emocional variables idiosincráticas socioculturales estimar importancia comunicación afectiva marco conflicto conocer estrategias comunicarse asertivamente diferentes sociales 
1,Fundamentos de fotografía documental,"Construir herramientas teóricas y técnicas para emplear la fotografía como documento que puede parte de la investigación en las ciencias sociales, artes y las humanidades. El curso une un desenvolvimiento en torno la semiótica, la técnica, la teoría y el uso de la fotografía con fines documentales. ",Arte y cultura,Introductorio,"*  Conocer el concepto de fotografía documental e identificar los elementos técnicos que caracterizan su proceso.
*  Establecer lineamientos que orienten la construcción de un proyecto documental.
*  Reconocer el alcance político que tiene el arte fotográfico identificando los aportes que la fotografía a hecho a la vida diaria.
*  Usar la fotografía en proyectos corporativos o personales que responden a preguntas de investigación social.",conocer concepto fotografía documental identificar elementos técnicos caracterizan proceso establecer lineamientos orienten construcción proyecto documental reconocer alcance político fotográfico identificando aportes fotografía hecho diaria fotografía proyectos corporativos personales responden preguntas investigación social 
2,Introducción a las finanzas: Principios de valoración,"Comprender los principios básicos de valor del dinero en el tiempo y cómo usarlos para la toma de decisiones financieras y evaluación de proyectos. Fortalecer tus competencias en el uso de funciones básicas de MS Excel para valorar flujos de efectivo en una línea de tiempo, solucionar problemas básicos de matemáticas financieras y resolver ecuaciones de valor equivalente, abriendo con ello nuevos espacios y oportunidades laborales como empleado y como independiente.","Economía y finanzas
",Intermedio ,"* Distinguir tasa de interés simple, compuesta, efectiva del período y tasa de descuento y usar criterios básicos de evaluación de proyectos
* Comprender la utilidad de los diagramas de flujo en la solución de problemas de valoración
* Usar funciones de Microsoft Excel para calcular valor futuro, valor presente, tasas de interés y número de períodos
* Establecer la relación entre tasas periódicas, tasas nominales y frecuencias de conversión
* Realizar correctamente la conversión entre diferentes tasas periódicas y tasas nominales
 * Realizar correctamente la valoración descontada de flujos de efectivo y plantear ecuaciones de valor equivalente",distinguir interés simple compuesta efectiva período descuento criterios básicos evaluación proyectos comprender utilidad diagramas flujo solución problemas valoración funciones microsoft excel calcular valor futuro valor presente tasas interés número períodos establecer relación tasas periódicas tasas nominales frecuencias conversión realizar correctamente conversión diferentes tasas periódicas tasas nominales realizar correctamente valoración descontada flujos efectivo plantear ecuaciones valor equivalente 
3,Fundamentos de anatomía y técnica quirúrgica básica," Reconocer cómo está constituido el cuerpo humano a través de casos clínicos seleccionados basados en hechos históricos reales, así como las bases anatómicas de algunos procedimientos que se usan en primeros auxilios y las técnicas para aplicarlos correctamente con el fin de salvar vidas.",Medicina y salud,Introductorio,"* Identificar las principales estructuras anatómicas relacionadas con el proceso de atragantamiento y con las maniobras usadas como primer respondiente para solucionarlo.
* Comprender las bases anatómicas de algunos procedimientos que se pueden desarrollar como primer respondiente frente a pacientes con trauma de tórax, particularmente con patologías como en neumotórax, el hemotórax y el derrame pleural.
* Conocer la organización y características anatómicas del abdomen así como recomendaciones para tratar a un paciente con dolor abdominal.
* Identificar la organización anatómica general de las extremidades y las bases anatómicas que sustentan el enfoque terapéutico inicial de hemorragias.",identificar principales estructuras anatómicas relacionadas proceso atragantamiento maniobras usadas primer respondiente solucionarlo comprender bases anatómicas procedimientos pueden desarrollar primer respondiente frente pacientes trauma tórax particularmente patologías neumotórax hemotórax derrame pleural conocer organización características anatómicas abdomen recomendaciones tratar paciente dolor abdominal identificar organización anatómica general extremidades bases anatómicas sustentan enfoque terapéutico inicial hemorragias 
4,Producción y consumo responsable: ODS 12,"Aprender las formas de producir y consumir sanamente a partir de un enfoque agroecológico, contribuyendo así al cuidado del planeta.","Ciencias humanas
Estudios socioambientales",Introductorio,"* Conceptualizar y complejizar la idea de Desarrollo Sostenible abriendo un espacio crítico y reflexivo en los participantes.
* Identificar estrategias personales y colectivas para promover el consumo responsable de alimentos, que mejore la salud a la vez que disminuye la huella ambiental del consumo humano.
* Conocer el enfoque agroecológico, reconocer sus principios y entender porque estos son importantes para la producción responsable de alimentos y así mismo el consumo responsable.
* Comprender  que la huella ecológica expresa el impacto de los alimentos consumidos por un determinado grupo de personas, medido en términos del agua y de la superficie de tierra biológicamente productiva necesarias para la producción de los alimentos y la asimilación de los residuos generados.",conceptualizar complejizar desarrollo sostenible abriendo espacio crítico reflexivo participantes identificar estrategias personales colectivas promover consumo responsable alimentos mejore salud disminuye huella ambiental consumo humano conocer enfoque agroecológico reconocer principios entender importantes producción responsable alimentos mismo consumo responsable comprender huella ecológica expresa impacto alimentos consumidos determinado grupo personas medido términos superficie tierra biológicamente productiva necesarias producción alimentos asimilación residuos generados 
5,Competencias para alinear las emociones con la mente,"Identificar los niveles de vibraciones bajas y cómo neutralizar las emociones negativas, a reconocer las vibraciones altas y aplicar herramientas que faciliten la manifestación y la sustentabilidad de las emociones positivas; lograrás entender las características reflejadas en el Ego y la trascendencia del Ser; así mismo, diseñar acciones estratégicas que hagan realidad, en la cotidianidad, el mapa de conciencia de David Hawkins.","Desarrollo personal
Salud y seguridad",Introductorio,"*Comprender el método de la Bioneuroemoción, la  técnica ""Dejar ir"" y las dimensiones del saber se cuidar.
* Describir los 16 niveles del mapa de conciencia.
* Cómo aprender a neutralizar las emociones negativas y desarrollar las emociones positivas.D21
* Analizar la relación de la mente con el “pequeño yo” llamado ego.
* Hacer consciente los efectos del miedo y el apego.
* Diseñar estrategias que proporcionen la resiliencia en situaciones de adversidad.
* Entender relación cuerpo mente.",comprender método bioneuroemoción técnica dejar dimensiones saber cuidar describir niveles conciencia aprender neutralizar emociones negativas desarrollar emociones positivasd21 analizar relación mente pequeño llamado hacer consciente efectos miedo apego diseñar estrategias proporcionen resiliencia situaciones adversidad entender relación cuerpo mente 
6,Introducción a los métodos computacionales para Ciencias Sociales,"
Reconocer los principales métodos computacionales para la analítica de contenidos sociales en entornos digitales, una de las áreas de mayor demanda profesional en la actualidad.","Análisis de datos y computación
Ciencias sociales",Intermedio ,"
* Contextualizar al estudiante sobre los conceptos fundamentales de la utilización de métodos computacionales en las Ciencias Sociales.
* Identificar las técnicas más frecuentemente utilizadas para el análisis textual a través de métodos computacionales.
* Conocer las principales técnicas empleadas para el análisis de redes, así como la visualización de datos en Twitter.
* Conocer los conceptos básicos del Machine Learning y surelación con las Ciencias Sociales.",contextualizar estudiante conceptos fundamentales utilización métodos computacionales ciencias sociales identificar técnicas frecuentemente utilizadas análisis textual través métodos computacionales conocer principales técnicas empleadas análisis redes visualización datos twitter conocer conceptos básicos machine learning surelación ciencias sociales 
7,Matemáticas para la U,"Aprender a manejar los conceptos matemáticos básicos (aritmética, álgebra, introducción a las funciones) y establecer conexiones entre estos conceptos aplicándolos en situaciones concretas de la vida cotidiana.",Matemáticas,Introductorio,"
* Conocer el conjunto de los números, sus propiedades y las principales operaciones que se pueden realizar con ellos. 
* Realizar operaciones con expresiones algebraicas y productos notables.
* Identificar ecuaciones y desigualdades, y resolverlas usando la técnica adecuada. 
* Diferenciar los tipos de funciones y conocer sus aplicaciones. 
",conocer conjunto números propiedades principales operaciones pueden realizar realizar operaciones expresiones algebraicas productos notables identificar ecuaciones desigualdades resolverlas usando técnica adecuada diferenciar tipos funciones conocer aplicaciones 
8,Un viaje por Hispanoamérica: español inicial,"Iniciarte en el aprendizaje del español, obteniendo herramientas comunicativas básicas, mientras recorres la cultura hispanoamericana.",Ciencias humanas,Introductorio,"
* Dar y pedir información personal en diferentes trámites o situaciones de viaje. 
* Utilizar expresiones para comprar productos y servicios.
* Ordenar comida en distintos espacios y situaciones.  
* Solicitar y comprender información sobre lugares y cómo llegar a ellos",pedir información personal diferentes trámites situaciones viaje utilizar expresiones comprar productos servicios ordenar comida distintos espacios situaciones solicitar comprender información lugares llegar 
9,Estrategias de transformación ante la crisis empresarial,Aprender el proceso de transformación que deben llevar a cabo las empresas para superar los momentos de adversidad que ponen en riesgo su continuidad.,Economía y negocios,Intermedio ,"* Caracterizar la turbulencia del entorno identifiando acciones para gestionarla
* Realizar un análisis del panorama competitivo a través de las variedades del sector estratégico, necesidades,  y los canales de distribución del sector estratégico.
* Analizar la información del mercado a partir de la identificación de espacios de mercado no explotados, cuantificar el potencial estratégico de nuevos espacios y la intensidad de la competencia.
* Identificar alternativas estratégicas a partir de la negociación con los clientes y proveedores,  cuantificar las barreras de entrada y determinar el grado de atractividad del sector.",caracterizar turbulencia entorno identifiando acciones gestionarla realizar análisis panorama competitivo través variedades sector estratégico necesidades canales distribución sector estratégico analizar información mercado partir identificación espacios mercado explotados cuantificar potencial estratégico nuevos espacios intensidad competencia identificar alternativas estratégicas partir negociación clientes proveedores cuantificar barreras entrada determinar grado atractividad sector 
